origin,Adang Bay,Asam Asam,Bahudopi,Balikpapan,Bangkok,Batangas,Belawan,Bengalon,Binh Thuan (Vinh Tan),Bintulu,Bitung,Bontang,Bunati,Bunyu,Cagayan de Oro,Cai Mep,Campha,Cebu,Chittagong,Cigading,Cirebon,Colombo,Da Nang,Davao,Dumai,Dung Quat,General Santos,Go Gia,Gresik,Ha Long,Hai Phong,Hambantota,Ho Chi Minh City,Hon La,Iligan,Iloilo City,Isabel,Kauswagan,Kemaman,Kendari,Ko Por Anchorage,Koh Sichang,Kotabaru,Kualatanjung,Kuantan,Kupang,Labuan,Laem Chabang,Lahad Datu,Laut Island,Limay,Lumut (Malaysia),Makassar,Malita,Manila,Map Ta Phut,Mariveles,Masinloc,Merak,Mongla,Muara Banyuasin,Muara Berau,Muara Jawa,Muara Pantai,Muara Satui,Naga (Cebu),Nasipit,Nghi Son,Ozamiz,Pagbilao,Palembang,Pasir Gudang,Payra,Pelabuhan Ratu,Penang,Phu My,Pomalaa,Port Dickson,Port Kelang,Prachuap,Quezon,Quy Nhon,Samarinda,Sandakan,Sangi,Sangkulirang,Sarasin,Sattahip,Semarang,Senipah Terminal,Sihanoukville,Singapore,Son Duong,Songkhla,Sorong,Sual (Lingayen bay),Surabaya,Taboneo - Banjarmasin,Tagoloan,Tanjung Bara CT,Tanjung Pelepas,Tarahan,Tarakan Island,Tawau,Teluk Bayur,Thilawa,Toledo (Philippines),Trincomalee,Villanueva (Mindanao Island),Vung Ang,Westport (Malaysia),Yangon,Zamboanga
Adang Bay,0.0,854.1,1303.5,122.4,2737.9,1734.2,2094.1,623.8,3218.2,2798.9,1369.4,565.2,896.9,1021.6,1718.8,3213.9,3851.4,1629.8,3652.7,1463.6,1793.2,4235.0,3462.9,1414.3,1816.5,3462.4,1364.9,3099.2,1412.6,3835.2,3113.6,3611.2,2559.3,2974.1,1611.6,1619.3,1829.5,1610.3,2017.3,1076.9,2711.9,2714.8,504.6,2030.1,2032.5,1374.9,1817.5,2718.4,1104.3,504.2,1764.8,1994.8,581.1,1362.3,1794.8,2744.0,1756.4,1801.6,1462.7,3804.6,1602.3,1130.1,553.4,192.4,882.8,1622.9,1688.4,3173.7,1609.7,1715.4,1646.3,1657.8,3760.5,1584.0,2530.9,3220.3,941.4,1810.6,1976.8,2809.1,1715.6,3222.4,550.3,1587.7,1673.5,645.2,2492.3,2727.4,1473.5,134.4,2479.4,1640.8,3107.5,2389.7,1700.5,2011.2,1417.6,795.9,1712.3,798.7,1641.7,1468.1,1042.5,1044.0,2143.6,3158.9,1637.0,3789.5,1708.1,2979.7,1975.0,3169.0,1338.7
Asam Asam,854.1,0.0,1394.9,764.1,2210.4,2008.2,1566.6,897.8,3141.1,2721.8,1596.2,839.2,208.4,1295.6,1992.8,3136.8,3774.3,1903.9,3125.2,936.1,1716.1,3707.5,3385.8,1688.3,1289.1,3385.3,1638.9,2600.5,1335.5,3758.1,2614.9,3083.7,2031.9,2475.4,1885.6,1893.3,2103.5,1884.3,1489.8,1168.3,2184.5,2187.4,582.7,1502.6,1505.0,1415.5,1736.5,2191.0,1378.3,582.3,2038.8,1467.3,672.4,1636.4,2068.8,2216.5,2030.4,2075.6,935.2,3277.1,1074.8,1404.1,827.4,834.2,194.3,1896.9,1962.4,2675.0,1883.8,1989.4,1118.8,1130.4,3233.0,1283.9,2003.4,3143.2,1032.8,1283.2,1449.3,2281.6,1989.6,3145.3,824.3,1861.7,1947.5,919.2,1964.8,2199.9,1396.4,776.2,1951.9,1113.4,2608.8,1862.2,1791.8,2285.2,1340.5,107.4,1986.3,1072.7,1114.3,940.6,1316.5,1318.0,1616.1,2631.4,1911.0,3262.0,1982.1,2481.0,1447.5,2641.5,1612.7
Bahudopi,1303.5,1394.9,0.0,1213.5,3469.3,1699.7,3544.7,1347.1,3344.9,2580.9,595.6,1288.5,1437.6,1308.1,1583.6,3533.6,3978.1,1503.0,5103.3,2684.3,2917.2,5685.6,3589.6,1035.2,2548.0,3589.1,985.8,3940.6,2141.7,3961.9,3955.0,5061.7,3565.0,3815.5,1484.8,1528.6,1495.5,1483.5,2748.8,499.6,3443.4,3446.3,1227.9,3480.7,2763.9,953.9,1871.4,3449.9,1390.7,1227.5,1782.6,2726.2,849.1,983.3,1812.6,3475.5,1774.2,1819.4,4632.6,5255.2,4772.2,1416.6,1276.7,1283.6,1423.5,1496.1,1553.2,3934.0,1482.9,1680.8,4816.2,2389.3,5211.1,2804.7,3262.4,3540.1,917.6,2542.1,2708.3,4259.7,1681.1,3349.1,1273.7,1641.6,1538.3,1368.5,3942.9,3458.9,2597.5,1225.5,3210.8,2372.3,3948.9,3121.2,927.5,2029.0,2146.7,1336.6,1577.1,1395.3,2373.2,4638.0,1328.9,1330.5,3155.1,4609.5,1510.2,5240.1,1572.9,3821.1,2706.4,4619.6,1116.9
Balikpapan,122.4,764.1,1213.5,0.0,2647.9,1644.2,2004.1,533.8,3128.2,2708.9,1279.4,475.2,806.9,931.6,1628.8,3123.9,3761.4,1539.8,3562.7,1373.6,1703.2,4145.0,3372.9,1324.3,1726.5,3372.4,1274.9,3009.2,1322.6,3745.2,3023.5,3521.2,2469.3,2884.0,1521.6,1529.3,1739.5,1520.3,1927.3,986.9,2621.9,2624.8,414.6,1940.1,1942.4,1284.9,1727.5,2628.4,1014.3,414.2,1674.8,1904.8,491.1,1272.3,1704.8,2654.0,1666.4,1711.6,1372.7,3714.6,1512.3,1040.1,463.4,102.4,792.8,1532.9,1598.4,3083.7,1519.7,1625.4,1556.2,1567.8,3670.5,1494.0,2440.9,3130.3,851.4,1720.6,1886.8,2719.1,1625.6,3132.4,460.3,1497.7,1583.5,555.2,2402.3,2637.4,1383.5,44.4,2389.4,1550.8,3017.5,2299.7,1610.5,1921.2,1327.6,705.9,1622.3,708.7,1551.7,1378.1,952.5,954.0,2053.6,3068.9,1547.0,3699.5,1618.1,2889.7,1885.0,3079.0,1248.7
Bangkok,2737.9,2210.4,3469.3,2647.9,0.0,3525.9,1569.2,2972.2,1212.1,1900.8,3670.7,2913.6,2253.1,3370.1,3510.4,841.0,1845.2,3421.5,3127.8,1889.9,2350.2,3710.1,1456.7,3696.9,1314.1,1456.2,3647.5,1807.7,2119.4,1829.0,1822.1,3086.2,872.4,1682.6,3403.2,3411.0,3621.1,3402.0,829.7,3922.8,89.0,91.8,2466.4,1505.2,844.9,4220.7,1853.5,95.5,3452.7,2466.0,3371.5,1492.3,3426.9,3645.0,3401.5,121.0,3363.0,3408.2,1889.0,3279.7,1429.6,3478.6,2901.9,2717.9,2239.0,3414.6,3480.0,1882.3,3401.4,3507.0,1473.6,1155.4,3235.6,2237.7,663.2,847.5,3787.2,1308.2,1474.4,163.6,3507.3,1216.3,2898.8,2911.1,3465.2,2993.7,1967.4,104.4,2618.7,2659.9,371.9,1138.4,1816.1,522.0,3866.3,3597.5,2124.3,2152.2,3503.9,3147.2,1139.3,1894.4,3390.9,3392.5,2569.9,2634.0,3428.6,3264.6,3499.7,1688.3,1472.5,2644.1,3225.7
Batangas,1734.2,2008.2,1699.7,1644.2,3525.9,0.0,3317.9,1398.6,3396.3,1792.8,1168.2,1340.0,2051.0,1003.5,802.8,3585.0,4029.5,713.9,4876.5,2735.7,2968.6,5458.8,3641.0,1082.7,2604.6,3640.5,1033.3,3992.0,2193.1,4013.3,4006.4,4834.9,3616.4,3866.9,695.6,341.2,794.2,694.4,2805.4,1805.1,3500.0,3502.9,1658.7,3253.9,2820.5,2162.4,1083.3,3506.5,1086.2,1658.3,357.3,2782.8,1735.2,1030.7,387.3,3532.1,348.9,394.1,4689.2,5028.4,4828.8,1112.0,1328.2,1714.3,2036.9,707.0,772.4,3990.6,693.8,182.7,4872.8,2445.9,4984.3,2856.1,3319.0,3591.5,2095.5,2598.7,2764.9,4032.9,182.9,3400.5,1325.1,853.5,757.6,1420.0,3716.1,3515.5,2648.9,1656.3,3267.4,2428.9,4000.3,3177.8,1567.6,603.7,2198.1,1950.0,796.3,1228.7,2429.8,4694.6,1024.4,1025.9,3211.7,4382.7,721.0,5013.3,792.1,3872.5,2763.0,4392.8,611.4
Belawan,2094.1,1566.6,3544.7,2004.1,1569.2,3317.9,0.0,2328.5,1655.1,1402.4,3027.0,2269.9,1609.3,2726.4,2866.7,1381.7,2288.2,2777.8,1876.7,1246.1,1706.4,2459.0,1899.8,3053.2,356.0,1899.2,3003.8,2250.8,1475.6,2272.1,2265.1,1835.1,1413.1,2125.6,2759.5,2767.3,2977.4,2758.3,871.1,2599.1,1543.3,1546.2,1822.6,254.1,886.3,2780.2,1553.5,1549.8,2809.0,1822.2,2727.8,241.2,2103.2,3001.3,2757.8,1575.3,2719.3,2764.5,1245.2,2028.6,785.9,2834.9,2258.2,2074.2,1595.2,2770.9,2836.3,2325.3,2757.7,2863.3,829.8,511.6,1984.4,1593.9,1362.2,1388.2,2463.5,350.1,223.2,1617.9,2863.6,1659.3,2255.1,2267.4,2821.5,2350.0,716.3,1558.7,1974.9,2016.2,1333.2,494.6,2259.1,1221.0,3222.6,2953.8,1480.6,1508.4,2860.2,2503.5,495.5,1250.6,2747.2,2748.8,1660.8,1382.9,2784.9,2013.4,2856.0,2131.3,221.4,1392.9,2582.0
Bengalon,623.8,897.8,1347.1,533.8,2972.2,1398.6,2328.5,0.0,3261.8,2842.5,1033.8,183.6,940.5,686.0,1383.1,3257.5,3895.0,1294.2,4606.2,1507.3,1836.8,5188.5,3506.5,1078.7,2050.9,3506.0,1029.2,2763.6,1456.2,3878.8,2777.9,4564.6,2388.0,2638.4,1275.9,1283.7,1493.8,1274.7,2251.7,1120.6,2946.3,2949.2,548.3,2983.6,2266.8,1418.6,1481.9,2952.8,768.6,547.8,1429.2,2229.1,624.7,1026.7,1459.2,2978.4,1420.8,1466.0,4135.5,4758.1,4275.1,794.5,171.9,603.9,926.4,1287.3,1352.7,3436.9,1274.1,1379.8,4319.1,1892.2,4714.0,1627.6,2765.3,3263.9,985.1,2045.0,2211.2,3762.6,1380.0,3266.0,168.8,1252.0,1337.9,263.7,3445.8,2961.8,1517.1,545.9,2713.7,1875.2,2771.9,2624.1,1563.6,1675.6,1461.2,839.6,1376.6,463.1,1876.1,4140.9,706.9,708.4,2658.0,4112.4,1301.3,4743.0,1372.4,2644.1,2209.3,4122.5,1003.1
Binh Thuan (Vinh Tan),3218.2,3141.1,3344.9,3128.2,1212.1,3396.3,1655.1,3261.8,0.0,1206.6,3031.5,3203.2,3183.8,3659.7,3380.9,462.1,906.6,3292.0,3213.7,1754.7,2215.0,3796.0,518.1,3076.4,1377.5,517.5,3027.0,869.1,1913.8,890.4,883.4,3172.2,493.5,743.9,3273.7,3281.4,3491.6,3272.4,1170.2,3118.4,1186.1,1189.0,3142.7,1591.1,1185.4,3416.3,4440.4,1192.6,3742.3,3142.2,3426.9,1555.8,2961.5,3024.5,3456.9,1218.2,3418.5,4439.6,1753.8,3365.6,1493.1,3768.2,3191.4,3198.3,3169.7,3285.0,3350.5,943.6,3271.9,3377.5,1537.0,1218.8,3321.5,2102.5,1140.4,468.5,2982.8,1371.6,1537.8,2370.1,3377.7,277.6,3188.4,4225.7,3335.6,3283.3,2053.3,1201.6,2483.5,3140.2,868.2,1201.8,877.4,999.2,3561.3,3673.3,1918.8,1946.6,3374.4,3436.8,1202.7,1759.2,3680.5,3682.1,2434.7,2719.9,3299.1,3350.5,3370.2,749.6,1536.0,2730.0,3000.8
Bintulu,2798.9,2721.8,2580.9,2708.9,1900.8,1792.8,1402.4,2842.5,1206.6,0.0,2049.4,2783.9,2764.5,3240.4,1777.3,1395.2,1839.7,1688.4,2961.0,1335.4,1795.6,3543.3,1451.3,1963.9,1124.8,1450.7,1914.4,1802.2,1494.4,1823.6,1816.6,2919.5,1426.7,1677.1,1670.1,1677.9,1888.0,1668.9,1180.2,2427.1,1874.8,1877.7,2723.4,1338.4,1195.4,2608.2,4021.1,1881.3,3323.0,2722.9,1638.4,1303.1,2542.2,1911.9,1668.4,1906.9,1630.0,4020.3,1334.5,3112.9,1240.4,3348.9,2772.1,2779.0,2750.4,1681.5,1746.9,1876.8,1668.3,1774.0,1284.4,966.1,3068.8,1683.1,1693.8,1401.7,2291.6,1118.9,1285.1,2117.4,1774.2,1210.8,2769.1,3806.4,1732.1,2864.0,1800.6,1890.3,2064.1,2720.9,1642.3,949.2,1810.6,1552.6,2448.8,1864.4,1499.4,1527.2,1770.8,3017.5,950.0,1339.8,3261.2,3262.8,2015.4,2467.2,1695.5,3097.8,1766.6,1682.8,1283.3,2477.3,1492.6
Bitung,1369.4,1596.2,595.6,1279.4,3670.7,1168.2,3027.0,1033.8,3031.5,2049.4,0.0,975.2,1638.9,776.6,1052.1,3220.2,3664.7,971.6,5133.1,2370.9,2603.8,5715.4,3276.2,503.8,2749.4,3275.7,454.4,3627.2,1828.3,3648.5,3641.6,5091.5,3251.6,3502.1,953.3,997.2,964.1,952.1,2950.2,701.0,3644.8,3647.7,1293.9,3510.5,2965.3,1058.4,1340.0,3651.3,859.3,1293.5,1251.2,2927.6,1050.4,451.8,1281.1,3676.9,1242.7,1287.9,4834.0,5285.0,4973.6,885.1,963.4,1349.5,1624.8,964.7,1021.7,4135.4,951.5,1149.4,5017.6,2590.7,5240.9,2491.3,3463.8,3226.7,1118.9,2743.5,2909.7,4289.5,1149.6,3035.7,960.3,1110.1,1006.9,1055.2,3972.7,3660.3,2284.1,1291.5,3412.2,2573.7,3635.5,3322.6,655.9,1497.6,1833.3,1538.0,1045.6,863.9,2574.6,4839.4,797.5,799.0,3356.5,4639.3,978.7,5269.9,1041.4,3507.7,2907.8,4649.4,585.5
Bontang,565.2,839.2,1288.5,475.2,2913.6,1340.0,2269.9,183.6,3203.2,2783.9,975.2,0.0,881.9,627.4,1324.5,3198.9,3836.4,1235.6,4547.6,1448.6,1778.2,5129.9,3447.9,1020.0,1992.3,3447.4,970.6,2704.9,1397.6,3820.2,2719.3,4506.0,2329.4,2579.8,1217.3,1225.1,1435.2,1216.1,2193.1,1062.0,2887.7,2890.6,489.7,2925.0,2208.2,1360.0,1423.2,2894.2,710.0,489.2,1370.6,2170.5,566.1,968.1,1400.6,2919.8,1362.2,1407.4,4076.9,4699.5,4216.5,735.9,113.3,545.3,867.8,1228.7,1294.1,3378.3,1215.5,1321.1,4260.5,1833.6,4655.4,1569.0,2706.7,3205.3,926.4,1986.4,2152.6,3704.0,1321.4,3207.4,110.2,1193.4,1279.3,205.1,3387.2,2903.2,1458.5,487.2,2655.1,1816.6,2713.3,2565.5,1505.0,1617.0,1402.6,780.9,1318.0,404.5,1817.5,4082.3,648.2,649.8,2599.4,4053.8,1242.7,4684.4,1313.8,2585.5,2150.7,4063.9,944.5
Bunati,896.9,208.4,1437.6,806.9,2253.1,2051.0,1609.3,940.5,3183.8,2764.5,1638.9,881.9,0.0,1338.3,2035.5,3179.5,3817.0,1946.6,3167.9,978.9,1758.8,3750.2,3428.5,1731.0,1331.8,3428.0,1681.6,2643.2,1378.2,3800.8,2657.6,3126.4,2074.6,2518.1,1928.3,1936.0,2146.2,1927.0,1532.6,1211.0,2227.2,2230.1,625.4,1545.3,1547.7,1458.2,1779.3,2233.7,1421.0,625.0,2081.6,1510.0,715.2,1679.1,2111.5,2259.2,2073.1,2118.3,978.0,3319.8,1117.5,1446.8,870.1,876.9,237.0,1939.7,2005.1,2717.7,1926.5,2032.1,1161.5,1173.1,3275.7,1326.6,2046.2,3185.9,1075.5,1325.9,1492.0,2324.3,2032.4,3188.0,867.1,1904.4,1990.3,961.9,2007.5,2242.6,1439.1,818.9,1994.6,1156.1,2651.6,1904.9,1834.6,2328.0,1383.2,150.1,2029.0,1115.4,1157.0,983.3,1359.2,1360.8,1658.8,2674.1,1953.7,3304.7,2024.8,2523.7,1490.2,2684.2,1655.4
Bunyu,1021.6,1295.6,1308.1,931.6,3370.1,1003.5,2726.4,686.0,3659.7,3240.4,776.6,627.4,1338.3,0.0,988.1,3655.4,4292.9,899.2,4879.9,1905.1,2234.7,5462.2,3904.4,779.6,2448.8,3903.9,730.2,2368.5,1854.1,4276.7,2382.8,4838.3,1992.9,2243.4,880.9,888.6,1098.8,879.7,2649.6,1413.5,3344.2,3347.1,946.1,3257.3,2664.7,1770.8,1086.8,3350.7,137.0,945.7,1034.1,2627.0,1022.5,727.6,1064.1,3376.3,1025.7,1070.9,4533.4,5031.8,4673.0,162.8,615.6,1001.7,1324.2,892.3,957.7,3834.8,879.1,984.7,4717.0,2290.1,4987.7,2025.5,3163.2,3661.8,1382.9,2442.9,2609.1,4036.3,984.9,3663.9,612.5,857.0,942.8,707.4,3719.5,3359.7,1915.0,943.7,3111.6,2273.1,2376.8,3022.0,1264.5,1280.5,1859.1,1237.4,981.6,516.1,2274.0,4538.8,75.2,76.7,3055.9,4386.1,906.3,5016.7,977.4,2249.0,2607.2,4396.2,640.6
Cagayan de Oro,1718.8,1992.8,1583.6,1628.8,3510.4,802.8,2866.7,1383.1,3380.9,1777.3,1052.1,1324.5,2035.5,988.1,0.0,3569.6,4014.1,280.4,4861.0,2720.3,2953.2,5443.3,3625.6,767.3,2589.1,3625.1,717.9,3976.6,2177.7,3997.9,3991.0,4819.4,3601.0,3851.5,262.1,631.8,275.5,260.9,2789.9,1689.0,3484.5,3487.4,1643.2,3238.4,2805.0,2046.3,1067.9,3491.0,1070.7,1642.8,885.8,2767.3,1719.7,715.3,915.7,3516.6,877.3,922.5,4673.7,5012.9,4813.3,1096.6,1312.7,1698.9,2021.4,273.5,134.4,3975.1,260.3,784.0,4857.3,2430.4,4968.8,2840.7,3303.5,3576.1,2080.0,2583.2,2749.4,4017.4,784.2,3385.1,1309.7,838.0,119.6,1404.6,3700.6,3500.0,2633.5,1640.8,3251.9,2413.4,3984.9,3162.3,1343.6,1132.2,2182.7,1934.5,158.3,1213.2,2414.3,4679.1,1008.9,1010.5,3196.2,4367.2,287.5,4997.8,154.1,3857.1,2747.5,4377.3,503.7
